id	filename	md5	size	state
02141be4-81fc-44ce-8743-6ba9b3bd99af	TCGA-A8-A086-01A-01-TSA.a432a95f-5863-4ad9-a2eb-7f986c62e096.svs	b74e7e2241938f4995d7c17432f0ecc4	274060069	validated
02154c4c-9b52-4797-9e34-d845a1030302	TCGA-66-2791-01A-01-BS1.0e33b4ca-0d98-44bb-8085-9a3bdfeb76e5.svs	a8b47c550a7dd6ef9f20f8218ee3b500	125231615	validated
022d0b5b-1c60-4d40-a746-268510a036a8	TCGA-KL-8342-01A-01-TS1.a9a851bd-38cc-4068-98dd-f82b5eff7eda.svs	a6bba56638548ad9b34bd7ee3f2ead78	1019973595	validated
022f4e6c-7502-42f2-8a2f-e257bbcaa5ce	TCGA-B0-5106-01A-01-TS1.c50fdd8d-636e-4ef5-a9d5-ff67b7fbfac5.svs	0fa5adf91ac262fe0b88a052db30bb56	259427111	validated
022f8f4a-3373-4890-b9f2-d842463de34b	TCGA-86-8669-01A-01-BS1.a68b7248-766f-4c1e-8a20-0fb5b7729b7f.svs	0c9f3463e4ccfce41f68d8c18e5f9594	2838500781	validated
023003bd-0601-4f8f-80fe-76aebb4a7fef	TCGA-B0-4690-01A-01-BS1.9f27fbe1-f8e7-450a-9b87-7feb0e92bf1c.svs	63bf0820bb309b91adf6b20130eb0d7c	772921801	validated
02317c12-748c-42f7-95a9-46f94d84849b	TCGA-BP-4164-01A-01-BS1.891e4806-ea13-468f-90e7-241fb8644c21.svs	29ca7bfdb3cc4c5ad9faf40f7587d015	359436253	validated
0238f8f8-a9e8-42b0-a071-d8e6e61cb30e	TCGA-55-6975-01A-01-TS1.5904f571-40fe-4262-962c-d233ed4c6b87.svs	817bacfca012440735fb404a9c870b17	74853157	validated
023b4461-3257-463e-8c3d-9302daa2f436	TCGA-A8-A07U-01A-01-MS1.92764161-0edd-431b-a770-259c8e240364.svs	0e356d31d504b6f78251b0b165c48836	283956629	validated
0242c352-73ec-477e-b6e7-0a4283f0e981	TCGA-L9-A743-01A-04-TS4.873E50BA-0B07-4174-9FBE-7A830A85F83E.svs	5964b30ad7004e566b1466080bdee8bb	475887095	validated
024677c9-7f83-4a06-b01a-c5c139511386	TCGA-B9-5155-01A-01-BS1.f54e258d-2541-4922-86bc-c0449cf12500.svs	f2e499a5b04c9dec39cb6498234fde01	138149619	validated
024b363a-bbc1-4b9f-9a97-6f5cefd768d3	TCGA-B2-3923-11A-01-BS1.5a115116-d7af-41fc-ad9c-cdedd8098038.svs	49ed0b3884bec773f60385296a80e8d7	320546131	validated
02650d18-4846-4bc2-8aff-db00f9c2ff3b	TCGA-49-6743-01A-01-BS1.a59ea9e1-f418-4882-b628-0039a2dd4bbd.svs	4917c8cb9f1f56c68a174177e5628b00	75443239	validated
026587f7-5a95-44d9-9aed-3235c6a70a18	TCGA-MN-A4N5-01A-01-TS1.A4B7035B-2419-404A-A13B-AA19CCAAB74D.svs	bb55ceed0bf79faabf3fb7138b918517	95263879	validated
0266d1ca-581e-45af-8e9a-4d4747754557	TCGA-KL-8342-11A-01-TS1.247acb51-3534-4cb5-b341-30dab192e08b.svs	6fcf79a0ce6ecd263d21eebf4ec65296	539619657	validated
026af677-a445-47ed-937f-e5a42fd0f4de	TCGA-A8-A09B-01A-01-TS1.02ded2f9-3484-42a5-a755-083c53b27f68.svs	35c01fc8404565df81246ab40c97e8f8	247645865	validated
02898b62-336c-49a2-a677-0427397a3728	TCGA-KL-8334-11A-01-TS1.61a3e199-8e61-4941-b908-8ccd0ecfba0c.svs	41608723f98b7fe1468ad696b304c457	1230011607	validated
02af761e-f81f-4ba7-8583-bc49bf365381	TCGA-39-5030-01A-01-BS1.df6c0cb5-7bf3-4abb-ac90-5dea9f1f55ac.svs	23e02704f21fa49f9d7068329b8eff34	547106801	validated
